publisher_by_doiprefix|2016|2017|2018|2019|2020|2021
AEPress, s.r.o.|0|1|0|0|0|0
AGHU University of Science and Technology Press|0|0|1|0|0|0
AI Access Foundation|1|0|0|0|0|0
AIP Publishing|19|22|15|16|25|20
AITO - Association Internationale pour les Technologies Objets|0|0|0|1|1|1
AME Publishing Company|4|4|3|11|2|4
ARLE (International Associaton for Research in L1 Education)|0|0|0|0|2|0
ASME International|0|0|0|0|1|0
ASTES Journal|0|0|1|0|0|0
Academy of Management|0|0|0|0|0|1
Acoustical Society of America (ASA)|1|0|1|0|1|1
Akademiai Kiado Zrt.|1|0|0|0|2|0
American Academy of Implant Dentistry|0|0|0|0|2|0
American Academy of Pediatrics (AAP)|0|0|0|0|0|1
American Association for Cancer Research (AACR)|6|5|2|5|4|5
American Association for Laboratory Animal Science|0|0|1|0|0|0
American Association for the Advancement of Science (AAAS)|12|5|6|12|19|18
American Association of Petroleum Geologists AAPG/Datapages|0|0|0|1|1|0
American Association of Physics Teachers (AAPT)|0|0|0|0|2|0
American Astronomical Society|41|65|40|45|46|52
American Chemical Society (ACS)|23|17|20|27|33|27
American Diabetes Association|1|2|1|0|0|1
American Economic Association|0|1|0|0|0|0
American Geophysical Union (AGU)|0|0|10|26|42|45
American Institute of Aeronautics and Astronautics (AIAA)|1|0|1|1|1|0
American Institute of Mathematical Sciences (AIMS)|5|5|1|6|8|1
American Medical Association (AMA)|4|2|4|1|2|6
American Meteorological Society|0|0|0|0|1|1
American Nuclear Society|1|0|0|0|0|0
American Physical Society (APS)|79|63|56|67|76|76
American Physiological Society|2|2|0|1|6|4
American Psychological Association (APA)|0|1|2|0|1|1
American Scientific Publishers|2|1|0|0|0|0
American Society for Biochemistry & Molecular Biology (ASBMB)|6|3|5|3|3|0
American Society for Cell Biology (ASCB)|0|2|0|0|0|0
American Society for Clinical Investigation|5|5|1|0|1|5
American Society for Microbiology|8|2|2|3|2|4
American Society for Pharmacology & Experimental Therapeutics (ASPET)|1|0|0|0|0|0
American Society of Civil Engineers (ASCE)|0|1|0|0|0|0
American Society of Hematology|4|2|3|3|4|4
American Society of Nephrology (ASN)|1|1|2|2|1|1
American Society of Tropical Medicine and Hygiene|0|0|0|0|1|1
American Speech Language Hearing Association|0|0|0|0|0|1
American Thoracic Society|1|1|1|1|2|4
American Vacuum Society|1|0|0|0|2|2
Annals of Mathematics|0|1|0|0|0|0
Annual Reviews|1|1|2|2|3|2
Anticancer Research USA Inc.|0|0|0|0|1|0
Antiquity Publications|0|2|1|1|0|2
Assoc. for Computational Linguistics Bulgaria|0|0|0|2|0|2
Association Internationale de management strategique (AIMS)|0|0|0|0|1|2
Association for Computational Linguistics (ACL)|0|2|0|0|0|0
Association for Computing Machinery (ACM)|18|29|38|47|33|30
Association for Research in Vision and Ophthalmology (ARVO)|1|0|0|0|0|0
Association of American Medical Colleges|0|0|0|0|0|1
Audio Engineering Society|0|0|0|0|1|0
BMJ|6|10|6|9|9|13
Baishideng Publishing Group Inc.|1|1|2|0|0|0
Begell House|0|0|1|0|0|1
Beilstein Institut|1|0|0|0|0|1
Bentham Science Publishers Ltd.|5|3|3|3|4|1
Bio-Protocol, LLC|0|0|0|0|0|1
BioOne|2|0|0|0|0|0
Brepols Publishers NV|0|0|0|0|0|1
Brill|4|3|0|1|4|2
Bristol University Press|0|0|0|0|0|1
British Editorial Society of Bone & Joint Surgery|0|1|1|0|1|1
Brno University of Technology|1|0|0|0|1|0
CAIRN|45|42|50|39|17|27
CIRAD (Centre de Cooperation Internationale en Recherche Agronomique Pour le Developpement)|0|0|0|0|1|0
COPD Foundation|0|0|1|0|0|0
CSIRO Publishing|0|0|1|0|0|0
Cambridge University Press (CUP)|21|32|15|29|12|15
Canadian Mathematical Society|2|0|1|1|0|2
Canadian Science Publishing|0|0|1|0|0|1
Carl Hanser Verlag|1|1|1|0|0|0
Cell Physiol Biochem Press GmbH and Co KG|0|0|0|1|0|1
Cellule MathDoc/CEDRAM|3|2|2|2|5|15
Centers for Disease Control and Prevention (CDC)|0|1|0|0|0|1
Centre for Evaluation in Education and Science (CEON/CEES)|0|0|1|0|0|0
Centre of Sociological Research, NGO|0|0|0|1|0|1
Centre pour la Communication Scientifique Directe (CCSD)|0|0|0|1|1|1
Centro de Ensino Unificado de Brasilia|0|0|0|1|0|0
Coastal Education and Research Foundation|0|0|1|0|1|0
Cognizant, LLC|0|1|0|0|0|0
Cold Spring Harbor Laboratory|2|6|1|0|3|0
Common Ground Research Networks|0|0|0|0|0|1
Computing in Cardiology|2|4|3|0|6|0
Consortium Erudit|0|1|0|0|0|0
Copernicus GmbH|1|3|2|3|12|18
Croatian Society for Medical Biochemistry and Laboratory Medicine|0|1|1|0|0|0
Daedalus Enterprises|1|0|1|0|0|0
Det Kgl. Bibliotek/Royal Danish Library|1|0|0|0|0|0
Duke University Press|0|0|3|1|1|1
Dustri-Verlgag Dr. Karl Feistle|0|0|0|0|1|0
EAGE Publications|5|3|8|5|3|3
ECCOMAS|1|0|0|0|0|0
EDIPUCRS|0|0|1|0|0|0
EDP Sciences|128|126|145|96|116|120
EDUFU - Editora da Universidade Federal de Uberlandia|0|0|0|1|0|0
EMBO|7|3|2|5|4|4
Earthquake Engineering Research Institute|0|0|1|0|0|0
Ediciones Universidad de Salamanca|0|0|1|0|0|0
Editions NecPlus|1|0|0|0|0|0
Editorial Committee of the Swedish Institutes at Athens and Rome (ECSI)|0|0|0|0|0|1
Edizioni Minerva Medica|0|2|1|2|2|5
Edward Elgar Publishing|2|0|0|1|0|1
Egitim Danismanligi ve Arastirmalari (EDAM)|0|0|0|1|0|0
Elsevier BV|417|418|486|514|522|594
Emerald|2|6|6|7|12|11
Environmental Health Perspectives|1|0|0|0|0|0
Equinox Publishing|0|0|0|0|1|0
Estudios Irlandeses|0|0|0|0|0|1
European Mathematical Society - EMS - Publishing House GmbH|2|3|3|4|0|1
European Respiratory Society (ERS)|0|2|1|1|0|1
Exeley, Inc.|0|0|0|0|1|0
F1000 Research Ltd|1|1|0|1|1|0
Faculty of Economics, University of Split|0|0|0|0|0|1
Faculty of Mathematics, Computer Science and Econometrics, University of Zielona Gora|0|0|0|1|0|0
Ferrata Storti Foundation (Haematologica)|1|2|2|1|0|1
Foundation Compositio Mathematica|1|3|0|0|0|1
Frontiers Media SA|30|34|36|52|59|77
Future Medicine Ltd|1|0|0|0|0|0
Future Science Ltd|1|0|0|0|0|2
GENES|0|0|0|1|0|0
GeoScienceWorld|2|0|0|0|1|1
Geochemical Society of Japan|0|0|0|1|0|0
Geological Society of London|1|8|0|1|2|1
Georg Thieme Verlag KG|2|3|2|1|2|6
Global Science Press|1|1|0|0|2|0
Growing Science|0|0|0|0|0|2
Hindawi Limited|4|3|9|5|4|1
Hogrefe Publishing Group|1|0|2|1|0|0
Human Kinetics|5|11|4|8|3|3
IGI Global|1|7|1|0|0|2
IMEKO International Measurement Confederation|1|0|0|0|0|0
INIST-CNRS|2|0|2|0|0|0
IOP Publishing|37|23|34|40|50|29
IOS Press|6|8|6|4|6|6
IWA Publishing|1|0|0|0|0|0
Impact Journals, LLC|10|16|8|1|2|0
Inderscience Publishers|0|1|1|3|2|1
Informa UK Limited|7|21|13|7|2|11
Information Processing Society of Japan|0|0|0|0|1|0
Institut National de la Statistique et des Etudes Economiques (INSEE)|0|1|1|0|0|1
Institute for Applied and Pure Mathematics (IMPA)|0|1|0|0|0|0
Institute for Operations Research and the Management Sciences (INFORMS)|1|0|2|2|1|0
Institute of Advanced Scientific Research|0|0|0|1|0|0
Institute of Archaeology and Ethnography SB RAS|0|0|0|0|1|0
Institute of Electrical and Electronics Engineers (IEEE)|134|153|172|212|175|208
Institute of Experimental Botany|0|0|0|0|1|0
Institute of Mathematical Statistics|5|3|9|3|5|6
Institute of Mathematics, Czech Academy of Sciences|0|0|1|1|0|0
Institute of Mathematics, Polish Academy of Sciences|1|0|0|1|0|0
Institute of Oceanography and Fisheries|0|0|0|1|0|0
Institute of Physics, Polish Academy of Sciences|0|0|0|1|0|1
Institution of Engineering and Technology (IET)|1|1|4|2|1|2
Instituto de Astrofisica de Canarias|0|2|0|0|0|0
Institutul de Chimie Macromoleculara Petru Poni|0|0|0|1|1|0
Inter-Research Science Center|3|0|0|1|0|0
International Association for Educators and Researchers (IAER)|0|0|0|0|0|1
International Association for Energy Economics (IAEE)|0|0|1|0|0|1
International College of Surgeons|0|0|0|1|0|0
International Joint Conferences on Artificial Intelligence|0|0|2|2|0|0
International Phototherapy Association|2|3|2|2|0|0
International Scientific Information, Inc.|0|1|0|0|0|0
International Society for Phytocosmetic Sciences|0|0|1|0|0|0
International Society for the Scholarship of Teaching and Learning|0|0|0|0|0|1
International Speech Communication Association|2|0|3|0|3|1
International Union of Crystallography (IUCr)|0|1|0|0|0|0
JMIR Publications Inc.|0|0|0|0|3|3
JSTOR|0|0|0|1|0|0
Jan Evangelista Purkyne University in Usti nad Labem|0|0|0|0|0|1
Japan Society of Applied Physics|3|1|0|1|0|0
Japanese Circulation Society|0|0|1|0|0|0
Jaypee Brothers Medical Publishing|2|0|0|0|0|0
John Benjamins Publishing Company|0|2|2|0|1|1
John Libbey Eurotext|2|2|1|0|4|5
Journal of Artificial Societies and Social Simulation|0|0|1|0|1|0
Journal of Neurosurgery Publishing Group (JNSPG)|0|0|0|1|0|0
Journal of Orthopaedic & Sports Physical Therapy (JOSPT)|0|0|0|1|0|0
Journal of Singularities|0|0|1|0|0|1
KSI Research Inc.|1|0|0|1|0|0
Kaunas University of Technology (KTU)|0|0|0|1|0|0
Korean Academy of Periodontology|0|0|0|0|1|0
Korean Breast Cancer Society|0|0|0|0|0|1
Korean Society of Lipidology and Atherosclerosis|0|0|0|0|1|0
Lavoisier|3|2|5|3|5|4
Les Amis d'Acarologia|0|0|0|0|0|1
Liverpool University Press|0|0|0|0|1|0
MIT Press - Journals|1|1|0|2|1|1
Maad Rayan Publishing Company|0|0|0|0|0|1
Magnolia Press|1|1|0|1|0|0
Mary Ann Liebert Inc|5|4|1|6|4|8
Massachusetts Medical Society|0|1|0|1|1|0
Medicina Oral, S.L.|0|1|0|0|0|0
Medknow|0|0|2|1|0|0
Michigan Mathematical Journal|0|1|0|0|0|0
Michigan State University Press|0|1|0|0|0|0
Microbiology Society|0|1|0|0|1|0
Museum National d'Histoire Naturelle, Paris, France|0|0|0|0|1|0
MyJove Corporation|0|1|2|0|2|2
National Academy of Sciences of Ukraine (Co. LTD Ukrinformnauka)|0|0|0|1|0|0
National Documentation Centre (EKT)|5|0|1|2|0|0
National Library of Serbia|0|1|1|0|0|0
National Research University, Higher School of Economics (HSE)|1|0|1|0|0|1
Nihon University School of Dentistry|1|0|0|0|0|0
Open Library of the Humanities|0|0|0|1|0|0
Open Publishing Association|0|0|0|0|0|2
Osterreichische Akademie der Wissenschaften|0|0|1|0|0|1
Ovid Technologies (Wolters Kluwer Health)|29|18|21|28|19|20
Oxford University Press (OUP)|72|93|94|100|85|106
PAGEPress Publications|0|0|0|0|0|1
Pakistan Journal of Agricultural Sciences|0|1|0|0|0|0
PeerJ|0|0|2|1|2|0
Pensoft Publishers|1|0|1|2|0|1
Peter Lang, International Academic Publishers|0|2|1|0|0|0
Physical Education and Sport Faculty|1|0|1|0|0|0
Physical Society of Japan|0|1|0|0|0|0
Pisa University Press|1|0|0|0|0|0
Pleiades Publishing Ltd|3|2|3|5|1|1
Polish Society for Magnesium Research|0|0|0|1|0|0
Portland Press Ltd.|3|0|0|0|3|0
Proceedings of the National Academy of Sciences|8|6|6|2|8|2
Project Muse|0|2|0|1|0|1
Public Library of Science (PLoS)|30|32|25|21|20|17
Quintessence Publishing|0|0|0|0|1|0
Radiological Society of North America (RSNA)|0|0|0|1|0|0
Resilience Alliance, Inc.|0|0|1|0|0|0
Rockefeller University Press|4|2|4|0|2|1
Royal College of Psychiatrists|0|0|0|0|0|1
Royal Society of Chemistry (RSC)|20|12|14|13|20|15
S. Karger AG|3|2|3|2|1|5
SAGE Publications|13|16|22|20|20|36
SIGMA (Symmetry, Integrability and Geometry: Methods and Application)|0|0|0|0|1|1
SLACK, Inc.|1|1|1|0|2|0
SPIE-Intl Soc Optical Eng|61|30|70|15|62|20
Saint Petersburg State University|0|0|0|1|0|1
Schweizerbart|0|8|10|5|7|8
Scientific Societies|2|0|1|2|1|4
Scipedia, S.L.|0|0|0|0|1|0
Seismological Society of America (SSA)|5|4|5|5|3|5
Serious Games Society|0|0|0|0|1|0
Servicio de Publicaciones de la Universidad de Murcia|0|0|0|0|1|0
Shared Science Publishers OG|1|0|0|0|0|0
Sissa Medialab Srl|2|0|0|0|0|0
Sociedade Brasileira de Geofisica|0|0|0|0|0|1
Societe Mathematique de France|1|0|3|2|0|0
Society for Imaging Science & Technology|2|0|0|0|0|0
Society for Industrial & Applied Mathematics (SIAM)|4|10|7|4|15|7
Society for Neuroscience|1|2|0|1|2|2
Society of Nuclear Medicine|0|1|3|0|0|0
Society of Petroleum Engineers (SPE)|0|1|0|0|0|0
Society of Rheology|4|0|2|2|1|0
Spandidos Publications|0|0|2|0|0|0
Springer Science and Business Media LLC|329|384|350|408|484|448
Termedia Sp. z.o.o.|1|0|1|1|0|1
The American Association of Immunologists|2|1|0|0|0|0
The Company of Biologists|4|6|7|2|5|8
The Electrochemical Society|1|0|0|1|1|0
The Electromagnetics Academy|0|0|1|1|1|1
The Electronic Journal of Combinatorics|2|2|3|1|1|0
The Feinstein Institute for Medical Research (North Shore LIJ Research Institute)|0|1|0|0|0|0
The Journal of Rheumatology|0|0|1|0|0|0
The Optical Society|25|23|32|30|23|17
The Research Center of the Slovenian Academy of Sciences and Arts / Znanstvenoraziskovalni center Slovenske akademije znanosti in umetnosti (ZRC SAZU)|0|0|0|1|0|0
The Royal Society|9|6|7|6|10|3
The Russian Presidential Academy of National Economy and Public Administration|0|0|0|0|1|0
The Society of Naval Architects and Marine Engineers|0|1|0|0|0|0
Trans Tech Publications, Ltd.|3|3|2|0|1|1
Ubiquity Press, Ltd.|0|0|1|1|2|1
Universidad CES|0|0|0|0|0|1
Universidad Nacional Autonoma de Mexico|0|0|0|1|0|0
Universidade Estadual de Maringa|0|0|0|0|0|1
Universidade Federal da Bahia|0|0|0|0|1|0
Universitat Autonoma de Barcelona|0|0|0|0|1|1
University Nove de Julho|1|0|0|0|0|0
University of Chicago Press|0|1|1|0|0|0
University of Debrecen/ Debreceni Egyetem|0|0|1|0|1|0
University of Latvia|0|0|1|0|0|0
University of Ljubljana|0|2|0|0|0|0
University of South Florida Libraries|0|1|0|1|1|1
Uniwersytet Jagiellonski - Wydawnictwo Uniwersytetu Jagiellonskiego|0|0|0|1|0|0
VM Media SP. zo.o VM Group SK|0|0|1|1|0|0
Verein zur Forderung des Open Access Publizierens in den Quantenwissenschaften|0|0|0|0|0|3
Vilnius Gediminas Technical University|0|0|0|0|0|1
WITPRESS LTD.|0|0|0|0|0|1
Walter de Gruyter GmbH|8|10|5|9|13|13
Westerdijk Fungal Biodiversity Institute|0|0|1|0|0|0
White Horse Press|0|0|0|0|0|1
Wiley|154|143|158|165|155|183
Wolfram Research, Inc.|1|1|0|1|0|0
World Scientific Pub Co Pte Ltd|14|9|15|7|14|5
eLife Sciences Publications, Ltd|6|1|2|7|5|11
